,BACHELOR,BACHELOR_AGE,BACHELOR_HEIGHT,SEASON,BACHELOR_HOMETOWN_CITY,BACHELOR_HOMETOWN_STATE,CONTESTANT,CONTESTANT_AGE,CONTESTANT_JOB,CONTESTANT_HEIGHT,CONTESTANT_ELIMWEEK,CONTESTANT_HOMETOWN_CITY,CONTESTANT_HOMETOWN_STATE
95,Lorenzo Borghese,34,,9,Milan,Italy,Elyse Hammer,27.0,Physician,,1.0,New York,NY
96,Lorenzo Borghese,34,,9,Milan,Italy,Cosetta Blanca,,Dancer,,1.0,Italy,
97,Lorenzo Borghese,34,,9,Milan,Italy,Claudia Gismondi,22.0,Restaurateur,,1.0,Boca Raton,FL
98,Lorenzo Borghese,34,,9,Milan,Italy,Carissa Ilburg,25.0,Attorney,,1.0,Cattaraugus,NY
99,Lorenzo Borghese,34,,9,Milan,Italy,Britt (Bowe) Newton,28.0,Beer chemist,,1.0,Columbus,OH
100,Lorenzo Borghese,34,,9,Milan,Italy,Andrea Shirley,28.0,Hotel concierge,,1.0,Cincinnati,OH
101,Lorenzo Borghese,34,,9,Milan,Italy,April Jacobs,23.0,Model,,1.0,Chicago,IL
102,Andy Baldwin,30,,10,Lancaster,PA,Tessa Horst,26.0,Social Worker,,,San Francisco,CA
103,Andy Baldwin,30,,10,Lancaster,PA,Bevin Nicole Powers,28.0,Assistant,,8.0,Palo Alto,CA
104,Andy Baldwin,30,,10,Lancaster,PA,Danielle Imwalle,25.0,Graphic Designer,,7.0,Bethel,CT
105,Andy Baldwin,30,,10,Lancaster,PA,Amber Alchalabi,23.0,Teacher,,6.0,Sugar Land,TX
106,Andy Baldwin,30,,10,Lancaster,PA,Stephanie Wilhite,23.0,Project Manager,,5.0,Overland Park,KS
107,Andy Baldwin,30,,10,Lancaster,PA,Tina Wu,26.0,Medical student,,5.0,Los Angeles,CA
108,Andy Baldwin,30,,10,Lancaster,PA,Kate Brockhouse,24.0,Boutique owner,,4.0,Ravenel,SC
109,Andy Baldwin,30,,10,Lancaster,PA,Nicole Clary,26.0,Sales Manager,,4.0,Charleston,SC
110,Andy Baldwin,30,,10,Lancaster,PA,Stephanie Tipper,27.0,Organ donor coordinator,,4.0,Folly Beach,SC
111,Andy Baldwin,30,,10,Lancaster,PA,Amanda Hackney,26.0,Financial analyst,,3.0,Dallas,TX
112,Andy Baldwin,30,,10,Lancaster,PA,Erin Parker,24.0,Financial analyst,,3.0,Logansport,LA
113,Andy Baldwin,30,,10,Lancaster,PA,Peyton Wright,24.0,Sorority recruiter,,3.0,La Vergne,TN
114,Andy Baldwin,30,,10,Lancaster,PA,Alexis Young,26.0,Attorney,,2.0,Southlake,TX
115,Andy Baldwin,30,,10,Lancaster,PA,Susan Anderson,23.0,Boutique manager,,2.0,The Woodlands,TX
116,Andy Baldwin,30,,10,Lancaster,PA,Tiffany Warren,28.0,Medical equipment sales rep,,2.0,Boston,MA
117,Andy Baldwin,30,,10,Lancaster,PA,Blakeney Rowe,29.0,Radio sales,,1.0,Birmingham,AL
118,Andy Baldwin,30,,10,Lancaster,PA,Candace DeCost,23.0,Waitress,,1.0,Hilton Head Island,SC
119,Andy Baldwin,30,,10,Lancaster,PA,Catherine Warren,23.0,Former Miss Illinois,,1.0,Lake Forest,IL
120,Andy Baldwin,30,,10,Lancaster,PA,Danielle Vallis,26.0,Attorney,,1.0,Bronx,NY
121,Andy Baldwin,30,,10,Lancaster,PA,Jackie Topelli,23.0,Executive coordinator,,1.0,Minneapolis,MN
122,Andy Baldwin,30,,10,Lancaster,PA,Jeanette Alvarez,27.0,Health care manager,,1.0,Tampa,FL
123,Andy Baldwin,30,,10,Lancaster,PA,Jessica Devallo,32.0,Hedge fund analyst,,1.0,New York,NY
124,Andy Baldwin,30,,10,Lancaster,PA,Linda Malek,33.0,Attorney,,1.0,Cuyahoga Falls,OH
125,Andy Baldwin,30,,10,Lancaster,PA,Lindsay Smith,22.0,Student,,1.0,Lawrence,KS
126,Andy Baldwin,30,,10,Lancaster,PA,Tiffany Forester,27.0,Real estate sales/development,,1.0,St. Louis Park,MN
127,Brad Womack,35,,11,Austin,TX,Deanna Pappas,25.0,Realtor,,8.0,Newnan,GA
128,Brad Womack,35,,11,Austin,TX,Jenni Croft,27.0,Phoenix Suns Cheerleader,,8.0,Wichita,KS
129,Brad Womack,35,,11,Austin,TX,Bettina Bell,27.0,Realtor,,7.0,Washington,D.C.
130,Brad Womack,35,,11,Austin,TX,Sheena Stewart,23.0,Internet marketing executive,,6.0,Walnut Creek,CA
131,Brad Womack,35,,11,Austin,TX,Hillary Reisinger,27.0,Registered nurse,,5.0,Philadelphia,PA
132,Brad Womack,35,,11,Austin,TX,Kristy Katzmann,29.0,Acupuncturist,,5.0,Gurnee,IL
133,Brad Womack,35,,11,Austin,TX,"Estefania ""Stephy"" Kootz",26.0,Executive assistant,,4.0,Atlanta,GA
134,Brad Womack,35,,11,Austin,TX,Jade Beazley,24.0,Boutique sales worker,,4.0,Nashville,TN
135,Brad Womack,35,,11,Austin,TX,McCarten Delaney,26.0,Account manager,,4.0,Lemon Grove,CA
136,Brad Womack,35,,11,Austin,TX,Lindsey Hawkins,25.0,Model,,3.0,Livonia,MI
137,Brad Womack,35,,11,Austin,TX,Sarah Newlon,23.0,Bar manager,,3.0,O'Fallon,IL
138,Brad Womack,35,,11,Austin,TX,Solisa Shoop,25.0,Esthetician,,3.0,Georgetown,TX
139,Brad Womack,35,,11,Austin,TX,Michele Leavy,30.0,Realtor,,2.0,South Brunswick,NJ
140,Brad Womack,35,,11,Austin,TX,Mallory Simons,24.0,Nanny,,2.0,Honolulu,HI
141,Brad Womack,35,,11,Austin,TX,Erin Gardner,25.0,Publishing sales executive,,2.0,Tampa,FL
142,Brad Womack,35,,11,Austin,TX,Jessica Kiss,27.0,News anchor,,1.0,Lady Lake,FL
143,Brad Womack,35,,11,Austin,TX,Juli Gilliam,24.0,Law student,,1.0,Chicago,IL
144,Brad Womack,35,,11,Austin,TX,Kim Orville,31.0,Realtor,,1.0,Woodbridge,CT
145,Brad Womack,35,,11,Austin,TX,Lori Langley,33.0,Biology teacher,,1.0,Annapolis,MD
146,Brad Womack,35,,11,Austin,TX,Melissa Buschel,28.0,Event planner,,1.0,Westchester,NY
147,Brad Womack,35,,11,Austin,TX,Morgan Becker,24.0,Graduate student,,1.0,Tempe,AZ
148,Brad Womack,35,,11,Austin,TX,Natalie Velasco,25.0,Law student,,1.0,Duncanville,TX
149,Brad Womack,35,,11,Austin,TX,Regina Doringa,31.0,Account representative,,1.0,San Diego,CA
150,Brad Womack,35,,11,Austin,TX,Tauni Nessler ,31.0,Emergency room nurse,,1.0,St. Louis Park,MN
151,Brad Womack,35,,11,Austin,TX,Susan Stein,35.0,Project analyst,,1.0,St. Charles,IL
152,Matt Grant,27,,12,London,England,Shayne Lamas,22.0,Actress,,,Malibu,CA
153,Matt Grant,27,,12,London,England,Chelsea Wanstrath,25.0,Pharmaceutical sales rep.,,8.0,Durango,CO
154,Matt Grant,27,,12,London,England,Amanda Rantuccio,27.0,Account Executive,,7.0,Niceville,FL
155,Matt Grant,27,,12,London,England,Noelle Drake,26.0,Photographer,,6.0,Loveland,CO
156,Matt Grant,27,,12,London,England,Marshana Ritchie,27.0,Fashion designer,,5.0,Brooklyn,NY
157,Matt Grant,27,,12,London,England,Robin Canfield,22.0,Advertising coordinator,,5.0,Holland,MI
158,Matt Grant,27,,12,London,England,Ashlee Williss,22.0,Singer-songwriter,,4.0,Jacksonville Beach,FL
159,Matt Grant,27,,12,London,England,Kelly Duncan,25.0,Medical sales rep.,,4.0,Hollywood,CA
160,Matt Grant,27,,12,London,England,Holly Durst,24.0,Children's book author,,4.0,Suffield,OH
161,Matt Grant,27,,12,London,England,Amy,22.0,Nanny,,3.0,Stockton,CA
162,Matt Grant,27,,12,London,England,Erin Storm,33.0,Hot-dog vendor,,3.0,Venice,CA
163,Matt Grant,27,,12,London,England,Kristine Heffelfinger,33.0,Personal trainer,,3.0,Dillsburg,PA
164,Matt Grant,27,,12,London,England,Carri Perrier,25.0,Church marketing rep.,,2.0,Oklahoma City,OK
165,Matt Grant,27,,12,London,England,Erin Harper,25.0,Event planner,,2.0,Seattle,WA
166,Matt Grant,27,,12,London,England,Michelle P.,28.0,Administrative assistant,,2.0,Syracuse,NY
167,Matt Grant,27,,12,London,England,Alyssa,24.0,Biology student,,1.0,Boise,ID
168,Matt Grant,27,,12,London,England,Amanda Petterman,26.0,Law student,,1.0,LaFollette,TN
169,Matt Grant,27,,12,London,England,Denise,30.0,Attorney and former White House aide,,1.0,Washington,D.C
170,Matt Grant,27,,12,London,England,Devon,24.0,Makeup artist,,1.0,Austin,TX
171,Matt Grant,27,,12,London,England,Lesley Geyer,23.0,Youth minister,,1.0,Tampa,FL
172,Matt Grant,27,,12,London,England,Michele R.,33.0,Interior designer,,1.0,Laguna Niguel,CA
