1.0-Negative,1.0-Neutral,1.0-Positive,1.0-Total,1.0-choose,1.0-win,10.0-Negative,10.0-Neutral,10.0-Positive,10.0-Total,10.0-choose,10.0-win,11.0-Negative,11.0-Neutral,11.0-Positive,11.0-Total,11.0-choose,11.0-win,2.0-Negative,2.0-Neutral,2.0-Positive,2.0-Total,2.0-choose,2.0-win,3.0-Negative,3.0-Neutral,3.0-Positive,3.0-Total,3.0-choose,3.0-win,4.0-Negative,4.0-Neutral,4.0-Positive,4.0-Total,4.0-choose,4.0-win,5.0-Negative,5.0-Neutral,5.0-Positive,5.0-Total,5.0-choose,5.0-win,6.0-Negative,6.0-Neutral,6.0-Positive,6.0-Total,6.0-choose,6.0-win,7.0-Negative,7.0-Neutral,7.0-Positive,7.0-Total,7.0-choose,7.0-win,8.0-Negative,8.0-Neutral,8.0-Positive,8.0-Total,8.0-choose,8.0-win,9.0-Negative,9.0-Neutral,9.0-Positive,9.0-Total,9.0-choose,9.0-win,Age,ElimWeek,Hometown,Name,Occupation,Season,firstname
1.0,3.0,0.0,4,0,0,,,2.0,2,0,0,,,,,,,,,,1,0,0,5.0,2.0,2.0,9,0,1,12.0,31.0,11.0,54,0,0,2.0,6.0,1.0,9,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Iggy
1.0,2.0,0.0,3,0,0,,,1.0,1,0,0,,,,,,,,,,0,0,0,2.0,2.0,0.0,4,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Bryce
1.0,5.0,4.0,10,0,0,0.0,12.0,3.0,15,0,0,,,,,,,0.0,1.0,1.0,2,0,0,0.0,2.0,3.0,5,0,0,2.0,1.0,2.0,5,0,0,4.0,9.0,8.0,21,0,0,11.0,16.0,7.0,34,0,1,,,,1,0,0,,,,0,0,0,1.0,7.0,7.0,15,0,0,,,,,,13,Will
0.0,3.0,3.0,6,0,0,,,,0,0,0,,,,,,,0.0,3.0,1.0,4,0,0,,,,3,0,0,1.0,10.0,6.0,17,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Diggy
,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Kyle
1.0,20.0,14.0,35,0,1,,,,0,0,0,,,,,,,1.0,0.0,2.0,3,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,1.0,1.0,2,0,0,,,,,,13,Blake K.
,,,0,0,0,,,,0,0,0,,,,,,,,,,1,0,0,,,,4,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Brady
0.0,5.0,1.0,6,0,0,3.0,47.0,16.0,66,0,0,,,,,,,1.0,10.0,21.0,32,0,2,1.0,4.0,2.0,7,0,0,21.0,92.0,56.0,169,0,6,2.0,19.0,12.0,33,0,0,3.0,14.0,20.0,37,0,0,12.0,37.0,36.0,85,2,6,0.0,3.0,1.0,4,0,0,0.0,20.0,19.0,39,1,0,,,,,,13,Dean
0.0,4.0,1.0,5,0,0,0.0,4.0,2.0,6,0,0,,,,,,,,,,2,0,0,16.0,23.0,11.0,50,0,4,3.0,9.0,2.0,14,0,0,2.0,6.0,3.0,11,0,0,6.0,11.0,9.0,26,1,0,7.0,7.0,2.0,16,0,2,,,,1,0,0,9.0,23.0,30.0,62,0,1,,,,,,13,Eric
1.0,4.0,0.0,5,0,0,5.0,4.0,3.0,12,0,0,,,,,,,5.0,60.0,13.0,78,0,0,7.0,10.0,3.0,20,0,0,,,,2,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,2,0,0,,,,,,13,DeMario
0.0,1.0,3.0,4,0,0,,,,0,0,0,,,,,,,1.0,1.0,11.0,13,0,0,,,1.0,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Blake E.
1.0,15.0,3.0,19,0,1,0.0,2.0,1.0,3,0,0,,,,,,,1.0,1.0,0.0,2,0,0,7.0,20.0,12.0,39,0,1,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Fred
0.0,1.0,2.0,3,0,0,,,,0,0,0,,,,,,,,,,0,0,0,0.0,2.0,1.0,3,0,0,,,,0,0,0,,,,1,0,0,,,1.0,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Jonathan
1.0,1.0,0.0,2,0,0,12.0,29.0,18.0,59,0,0,,,,,,,3.0,2.0,8.0,13,0,0,15.0,10.0,10.0,35,0,3,27.0,72.0,47.0,146,0,3,24.0,74.0,25.0,123,0,3,11.0,22.0,14.0,47,0,2,,,,1,0,0,,,,0,0,0,,,,1,0,0,,,,,,13,Lee
1.0,3.0,13.0,17,0,0,1.0,12.0,6.0,19,0,0,,,,,,,1.0,0.0,1.0,2,0,0,0.0,10.0,9.0,19,0,1,1.0,4.0,0.0,5,0,0,0.0,1.0,3.0,4,0,0,0.0,3.0,9.0,12,0,0,0.0,2.0,2.0,4,0,0,,,,0,0,0,,,1.0,1,0,0,,,,,,13,Alex
2.0,5.0,4.0,11,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Milton
8.0,16.0,9.0,33,0,0,1.0,11.0,0.0,12,0,0,,,,,,,1.0,2.0,3.0,6,0,0,0.0,5.0,2.0,7,0,0,1.0,1.0,0.0,2,0,0,0.0,8.0,1.0,9,0,0,2.0,7.0,13.0,22,0,0,14.0,32.0,14.0,60,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Adam
