,SEASON,CONTESTANT,CONTESTANT_JOB,CONTESTANT_HEIGHT,HEIGHT_DIFF,HEIGHT_BIN,CONTESTANT_HOMETOWN_CITY,SAME_CITY,SAME_STATE,CONTESTANT_HOMETOWN_STATE,CONTESTANT_REGION,SAME_REGION,AGE_DIFF,AGE_DIFF_MEAN_POOL,AGE_DIFF_BACH_POOL,AGE_DIFF_CAT,CONTESTANT_ELIMWEEK,WINNER
61,5,Debbie Merkett,Massage therapist/bartender,,,4,Pinetops,0,1,NC,S,0,7.0,1.9600000000000009,8.96,2,2.0,0
62,5,Anne-Catherine Labbé,Model/make-up artist,,,4,"Quebec City, Quebec",0,1,,,0,7.0,1.9600000000000009,8.96,2,2.0,0
63,5,Amber LaRoux,Consultant,,,4,Sunriver,0,1,OR,W,0,7.0,1.9600000000000009,8.96,2,2.0,0
64,5,Mandy Clemens,Professional soccer player,,,4,San Diego,0,1,CA,W,0,9.0,-0.03999999999999915,8.96,2,2.0,0
65,5,Kristy Romero,Student,,,4,Dearborn,0,1,MI,W,0,9.0,-0.03999999999999915,8.96,2,2.0,0
66,5,Celeste Creel,Model/executive assistant,,,4,Ithaca,0,1,NY,N,0,10.0,-1.0399999999999991,8.96,2,2.0,0
67,5,Jenny Matthews,Retail manager,,,4,Canton,0,1,MI,W,0,10.0,-1.0399999999999991,8.96,2,2.0,0
68,5,Dolores Farburg,Account manager,,,4,Madison,0,1,NJ,N,0,8.0,0.9600000000000009,8.96,2,1.0,0
69,5,Francine Jones,Retail manager,,,4,Houston,0,1,TX,S,0,9.0,-0.03999999999999915,8.96,2,1.0,0
70,5,DeShaun Warner,Account manager/sales,,,4,Phillipsburg,0,1,NJ,N,0,9.0,-0.03999999999999915,8.96,2,1.0,0
71,5,Jessica Kyron,Student,,,4,Cincinnati,0,1,OH,M,0,13.0,-4.039999999999999,8.96,2,1.0,0
72,5,Holly Reeder,Bank representative,,,4,Tulsa,0,1,OK,S,0,8.0,0.9600000000000009,8.96,2,1.0,0
73,5,Rachel Clementi,Fashion public relations manager,,,4,Buffalo,0,1,NY,N,0,8.0,0.9600000000000009,8.96,2,1.0,0
