,SEASON,TYPE,VALUE,CONTESTANT_y,CONTESTANT_JOB,CONTESTANT_HEIGHT,HEIGHT_DIFF,HEIGHT_BIN,CONTESTANT_HOMETOWN_CITY,SAME_CITY,SAME_STATE,CONTESTANT_HOMETOWN_STATE,CONTESTANT_REGION,SAME_REGION,AGE_DIFF,AGE_DIFF_MEAN_POOL,AGE_DIFF_BACH_POOL,AGE_DIFF_CAT,CONTESTANT_ELIMWEEK,WINNER
51,21,DATES-2,D12,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
52,21,DATES-3,D7,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
53,21,DATES-4,D13,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
54,21,DATES-5,D10,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
55,21,DATES-6,D6,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
56,21,DATES-7,,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
57,21,DATES-8,,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
58,21,DATES-9,,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
59,21,DATES-10,,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
60,21,ELIMINATION-1,E,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
61,21,ELIMINATION-2,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
62,21,ELIMINATION-3,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
63,21,ELIMINATION-4,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
64,21,ELIMINATION-5,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
65,21,ELIMINATION-6,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
66,21,ELIMINATION-7,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
67,21,ELIMINATION-8,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
68,21,ELIMINATION-9,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
69,21,ELIMINATION-10,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
70,21,DATES-1,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
71,21,DATES-2,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
72,21,DATES-3,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
73,21,DATES-4,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
74,21,DATES-5,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
75,21,DATES-6,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
76,21,DATES-7,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
77,21,DATES-8,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
78,21,DATES-9,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
79,21,DATES-10,,Jasmine B.,Flight Attendant,62.5,11.5,2,Tacoma,0,1,WA,W,0,11.0,-3.0,8.0,2,1.0,0
80,20,ELIMINATION-1,,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
81,20,ELIMINATION-2,,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
82,20,ELIMINATION-3,R,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
83,20,ELIMINATION-4,R,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
84,20,ELIMINATION-5,,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
85,20,ELIMINATION-6,,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
86,20,ELIMINATION-7,,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
87,20,ELIMINATION-8,,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
88,20,ELIMINATION-9,,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
89,20,ELIMINATION-10,W,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
90,20,DATES-1,,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
91,20,DATES-2,,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
92,20,DATES-3,D1,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
93,20,DATES-4,D12,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
94,20,DATES-5,D9,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
95,20,DATES-6,D7,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
96,20,DATES-7,D1,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
97,20,DATES-8,D1,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
98,20,DATES-9,D1,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
99,20,DATES-10,D1,Lauren Bushnell,Flight Attendant,,,4,West Linn,0,1,OR,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,,1
100,20,ELIMINATION-1,,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
101,20,ELIMINATION-2,R,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
102,20,ELIMINATION-3,,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
103,20,ELIMINATION-4,,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
104,20,ELIMINATION-5,,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
105,20,ELIMINATION-6,R,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
106,20,ELIMINATION-7,,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
107,20,ELIMINATION-8,,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
108,20,ELIMINATION-9,EU,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
109,20,ELIMINATION-10,,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
110,20,DATES-1,,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
111,20,DATES-2,D1,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
112,20,DATES-3,,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
113,20,DATES-4,D12,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
114,20,DATES-5,D9,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
115,20,DATES-6,D1,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
116,20,DATES-7,D3,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
117,20,DATES-8,D1,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
118,20,DATES-9,D1,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
119,20,DATES-10,,Caila Quinn,Software Sales Representative,,,4,Hudson,0,1,OH,M,1,2.0,-1.40909090909091,0.5909090909090899,2,9.0,0
120,20,ELIMINATION-1,,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
121,20,ELIMINATION-2,,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
122,20,ELIMINATION-3,,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
123,20,ELIMINATION-4,,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
124,20,ELIMINATION-5,R,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
125,20,ELIMINATION-6,R,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
126,20,ELIMINATION-7,R,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
127,20,ELIMINATION-8,E,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
128,20,ELIMINATION-9,,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
129,20,ELIMINATION-10,,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
130,20,DATES-1,,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
131,20,DATES-2,D6,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
132,20,DATES-3,D12,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
133,20,DATES-4,D12,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
134,20,DATES-5,D1,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
135,20,DATES-6,D7,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
136,20,DATES-7,D3,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
137,20,DATES-8,D1,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
138,20,DATES-9,,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
139,20,DATES-10,,Amanda Stanton,Esthetician,,,4,Rancho Santa Margarita,0,1,CA,W,0,1.0,-0.40909090909091006,0.5909090909090899,2,8.0,0
140,20,ELIMINATION-1,,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
141,20,ELIMINATION-2,,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
142,20,ELIMINATION-3,,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
143,20,ELIMINATION-4,R,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
144,20,ELIMINATION-5,,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
145,20,ELIMINATION-6,,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
146,20,ELIMINATION-7,E,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
147,20,ELIMINATION-8,,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
148,20,ELIMINATION-9,,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
149,20,ELIMINATION-10,,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
150,20,DATES-1,,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
151,20,DATES-2,D10,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
152,20,DATES-3,,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
153,20,DATES-4,D1,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
154,20,DATES-5,D9,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
155,20,DATES-6,D7,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
156,20,DATES-7,D3,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
157,20,DATES-8,,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
158,20,DATES-9,,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
159,20,DATES-10,,Becca Tilley,Chiropractic Assistant,,,4,Shreveport,0,1,LA,S,0,0.0,0.5909090909090899,0.5909090909090899,1,7.0,0
160,20,ELIMINATION-1,,Emily Ferguson,Waitress,,,4,Las Vegas,0,1,NV,W,0,3.0,-2.40909090909091,0.5909090909090899,2,7.0,0
161,20,ELIMINATION-2,,Emily Ferguson,Waitress,,,4,Las Vegas,0,1,NV,W,0,3.0,-2.40909090909091,0.5909090909090899,2,7.0,0
162,20,ELIMINATION-3,,Emily Ferguson,Waitress,,,4,Las Vegas,0,1,NV,W,0,3.0,-2.40909090909091,0.5909090909090899,2,7.0,0
163,20,ELIMINATION-4,,Emily Ferguson,Waitress,,,4,Las Vegas,0,1,NV,W,0,3.0,-2.40909090909091,0.5909090909090899,2,7.0,0
164,20,ELIMINATION-5,,Emily Ferguson,Waitress,,,4,Las Vegas,0,1,NV,W,0,3.0,-2.40909090909091,0.5909090909090899,2,7.0,0
