Column1,SHOW,SEASON,ETTE_NAME,CONTESTANT,NAME,AGE,ELIMINATION-1,ELIMINATION-2,ELIMINATION-3,ELIMINATION-4,ELIMINATION-5,ELIMINATION-6,ELIMINATION-7,ELIMINATION-8,ELIMINATION-9,ELIMINATION-10,DATES-1,DATES-2,DATES-3,DATES-4,DATES-5,DATES-6,DATES-7,DATES-8,DATES-9,DATES-10,FIR-1,FIR-2,FIR-3,FIR-4,FIR-5,FIR-6,FIR-7,FIR-8,FIR-9,FIR-10,ROSE-1,ROSE-2,ROSE-3,ROSE-4,ROSE-5,ROSE-6,ROSE-7,ROSE-8,ROSE-9,ROSE-10,AGE_DIFF,AGE_DIFF_MEAN_POOL,AGE_DIFF_CAT,SAME_CITY,SAME_STATE,SAME_REGION,SAME_OCCUPATIONGROUP,WINNER
0,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_JORDAN_R,Jordan Rodgers,27,R1,,,R,R,,,,,W,0,6,12,11,1,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-2,-1.307692308,0,0,0,0,0,1
1,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_ROBBY_H,Robby Hayes,27,,,,,R,,R,,,E,0,10,0,11,9,5,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2,-1.307692308,0,0,0,1,0,0
2,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_CHASE_M,Chase McNary,27,,,R,,,R,,,ED,,0,0,1,11,9,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-2,-1.307692308,0,0,0,0,0,0
3,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_LUKE_P,Luke Pell,31,,,,R,,R,,E,,,0,10,0,1,9,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-6,2.692307692,0,0,1,1,0,0
4,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_JAMES_T,James Taylor,29,,R,R,,,,E,,,,0,6,1,11,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-4,0.692307692,0,0,1,1,0,0
5,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_ALEX_W,Alex Woytkiw,25,,,,R,,,ED,,,,0,6,12,2,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.307692308,1,0,0,0,0,0
6,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_DEREK_P,Derek Peth,29,,R,,,R,ED,,,,,0,1,0,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-4,0.692307692,0,0,0,0,0,0
7,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_WELLS_A,Wells Adams,31,,R,,,,ED,,,,,0,10,12,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6,2.692307692,0,0,0,0,0,0
8,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_VINCENT_V,"Vincent ""Vinny"" Ventiera",28,,,,,E,,,,,,0,10,12,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-0.307692308,0,0,0,0,0,0
9,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_GRANT_K,Grant Kemp,27,,,,,E,,,,,,0,10,12,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1.307692308,0,0,0,0,0,0
10,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_EVAN_B,Evan Bass,33,,,R,,E,,,,,,0,10,12,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,4.692307692,0,0,0,0,0,0
11,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_JAMES_F,James Fuertes,34,,,,E,,,,,,,0,10,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,5.692307692,0,0,0,1,0,0
12,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_DANIEL_M,Daniel Maguire,31,,,,E,,,,,,,0,10,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2.692307692,0,0,0,0,0,0
13,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_CHAD_J,Chad Johnson,28,,,,ED,,,,,,,0,6,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-0.307692308,0,0,0,1,1,0
14,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_NICK_B,Nick Benvenutti,33,,,E,,,,,,,,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,4.692307692,0,0,0,0,0,0
15,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_CHRISTIAN_B,Christian Bishop,26,,,E,,,,,,,,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2.307692308,0,0,0,0,0,0
16,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_ALI_Z,Ali Zahiri,27,,,E,,,,,,,,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1.307692308,0,0,0,0,0,0
17,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_WILL_H,Will Haduch,26,,E,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2.307692308,0,0,0,0,0,0
18,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_JAMES_S,James Spadafore,27,,E,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1.307692308,0,0,0,0,0,0
19,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_BRANDON_H,Brandon Howell,28,,E,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-0.307692308,0,0,0,0,0,0
20,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_SAL_D,Sal DeJulio,28,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-0.307692308,0,0,0,0,0,0
21,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_PETER_M,Peter Medina,26,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2.307692308,0,0,0,0,0,0
22,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_NICK_S,Nick Sharp,26,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2.307692308,0,0,0,0,0,0
23,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_JONATHAN_H,Jonathan Hamilton,29,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0.692307692,0,0,0,0,0,0
24,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_JAKE_P,Jake Patton,26,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2.307692308,0,0,0,0,0,0
25,Bachelorette,12,"Joelle ""JoJo"" Fletcher",12_COLEY_K,Coley Knust,27,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1.307692308,0,0,0,0,0,0
26,Bachelorette,11,Kaitlyn Bristowe,11_SHAWN_B,Shawn Booth,28,R1,,R,,R,,,,W,,0,0,6,8,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,-1.5,2,0,0,0,0,1
27,Bachelorette,11,Kaitlyn Bristowe,11_NICK_V,Nick Viall,34,,,,,R,R,,,E,,0,0,0,0,9,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-5,4.5,0,0,0,0,0,0
28,Bachelorette,11,Kaitlyn Bristowe,11_BEN_H,Ben Higgins,26,,,R,,R,,,E,,,0,8,6,5,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,-3.5,2,0,0,0,0,0
29,Bachelorette,11,Kaitlyn Bristowe,11_JARED_H,Jared Haibon,26,,,,R,,R,E,,,,0,8,6,1,9,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,-3.5,2,0,0,0,0,0
30,Bachelorette,11,Kaitlyn Bristowe,11_JOE_B,Joe Bailey,28,,,,,,R,ED,,,,0,7,6,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-1.5,2,0,0,0,0,0
31,Bachelorette,11,Kaitlyn Bristowe,11_CHRIS_S,Chris Strandburg,28,,,,R,,,ED,,,,0,7,6,5,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.5,2,0,0,0,0,0
32,Bachelorette,11,Kaitlyn Bristowe,11_BEN_Z,Ben Zorn,26,,R,R,,,E,,,,,0,8,1,8,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,-3.5,2,0,0,0,0,0
33,Bachelorette,11,Kaitlyn Bristowe,11_TANNER_T,Tanner Tolbert,28,,,,,,E,,,,,0,8,6,8,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.5,2,0,0,0,0,0
34,Bachelorette,11,Kaitlyn Bristowe,11_JJ_L,JJ Lane III,32,,R,,,,ED,,,,,0,7,6,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3,2.5,0,0,0,0,0,0
35,Bachelorette,11,Kaitlyn Bristowe,11_JOSHUA_A,Joshua Albers,31,,,,,E,,,,,,0,7,6,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1.5,0,0,0,0,0,0
36,Bachelorette,11,Kaitlyn Bristowe,11_JUSTIN_R,Justin Reich,28,,,,R,E,,,,,,0,8,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.5,2,0,0,0,0,0
37,Bachelorette,11,Kaitlyn Bristowe,11_IAN_T,Ian Thomson,28,,,,,EQ,,,,,,0,7,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.5,2,0,0,0,0,0
38,Bachelorette,11,Kaitlyn Bristowe,11_COREY_S,Corey Stansell (NY),30,,,,E,,,,,,,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5,0,0,0,0,0,0
39,Bachelorette,11,Kaitlyn Bristowe,11_JONATHAN_H,Jonathan Holloway,33,,,,E,,,,,,,0,7,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,3.5,0,0,0,0,0,0
40,Bachelorette,11,Kaitlyn Bristowe,11_RYAN_B,Ryan Beckett,32,,,,E,,,,,,,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,2.5,0,0,0,0,0,0
41,Bachelorette,11,Kaitlyn Bristowe,11_CLINT_A,Clint Arlis,27,,R,EU,,,,,,,,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-2.5,2,0,0,0,0,0
42,Bachelorette,11,Kaitlyn Bristowe,11_TONY_H,Tony Harris,35,,,EQ,,,,,,,,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,5.5,0,0,0,0,0,0
43,Bachelorette,11,Kaitlyn Bristowe,11_CORY_S,Cory Shivar (NC),35,,E,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,5.5,0,0,0,0,0,0
44,Bachelorette,11,Kaitlyn Bristowe,11_DANIEL_F,Daniel Finney,28,,E,,,,,,,,,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.5,2,0,0,0,0,0
45,Bachelorette,11,Kaitlyn Bristowe,11_KUPAH_J,Kupah James,32,,EU,,,,,,,,,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,2.5,0,0,0,0,0,0
46,Bachelorette,11,Kaitlyn Bristowe,11_BRADLEY_C,Bradley Cox,25,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-4.5,2,0,0,0,0,0
47,Bachelorette,11,Kaitlyn Bristowe,11_DAVID_X,David X,28,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.5,2,0,0,0,0,0
48,Bachelorette,11,Kaitlyn Bristowe,11_JOSH_S,Josh Seiter,27,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2.5,2,0,0,0,0,0
49,Bachelorette,11,Kaitlyn Bristowe,11_SHAWN_E,Shawn Evans,31,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1.5,0,0,0,0,0,0
50,Bachelorette,11,Kaitlyn Bristowe,11_BRADY_T,Brady Toops,33,EQ,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,3.5,0,0,0,0,0,0
51,Bachelorette,11,Kaitlyn Bristowe,11_RYAN_M,Ryan McDill,28,EF,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.5,2,0,0,0,0,0
52,Bachelorette,10,Andi Dorfman,10_JOSH_M,Josh Murray,29,,,R,,R,,,,,W,0,14,12,0,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-3,-0.52,0,0,1,1,0,1
53,Bachelorette,10,Andi Dorfman,10_NICK_V,Nick Viall,33,R1,,R,,,R,R,,,EU,0,0,1,6,9,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,-7,3.48,0,0,0,0,0,0
54,Bachelorette,10,Andi Dorfman,10_CHRIS_S,Chris Soules,32,,R,,,,R,,,ED,,0,1,0,0,9,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-6,2.48,0,0,0,0,0,0
55,Bachelorette,10,Andi Dorfman,10_MARCUS_G,Marcus Grodd,25,,R,,R,,,,E,,,0,14,12,1,9,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-4.52,2,0,0,0,0,0
56,Bachelorette,10,Andi Dorfman,10_BRIAN_O,Brian Osborne,27,,,,R,R,,E,,,,0,14,12,6,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,-2.52,0,0,0,0,0,0
57,Bachelorette,10,Andi Dorfman,10_DYLAN_P,Dylan Petitt,26,,,,R,,,E,,,,0,14,0,1,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.52,1,0,0,0,0,0
58,Bachelorette,10,Andi Dorfman,10_JJ_O,JJ O'Brien,30,,,R,,R,E,,,,,0,0,1,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-4,0.48,0,0,0,0,0,0
59,Bachelorette,10,Andi Dorfman,10_CODY_S,Cody Sattler,28,,,,,,ED,,,,,0,14,12,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1.52,0,0,0,0,0,0
60,Bachelorette,10,Andi Dorfman,10_ANDREW_P,Andrew Poole,30,,,,,E,,,,,,0,0,12,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0.48,0,0,0,0,0,0
61,Bachelorette,10,Andi Dorfman,10_MARQUEL_M,Marquel Martin,26,,,,,E,,,,,,0,14,12,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.52,1,0,0,0,0,0
